,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
5dW0cgZ9uV1W3PXtuTS5uP,0.65,0.783,-8.061,1,0.0342,0.000577,0.815,0.2,0.507,124.008,161629
2lWc1iJlz2NVcStV5fbtPG,0.7,0.748,-8.16,0,0.0771,0.226,0.796,0.104,0.154,130.056,158761
5xJlzQiPLYkvlqkRPKzBwD,0.541,0.826,-4.214,1,0.0361,0.000469,0.0,0.711,0.402,113.03,240000
44Xyja7xYPlVC6v2CeweSi,0.704,0.819,-2.974,1,0.0626,0.00176,0.0,0.094,0.914,139.921,168280
6mgzUNNr3NY6NbTzNzwYq9,0.274,0.956,-4.978,1,0.0814,1.37e-05,1.33e-06,0.117,0.339,150.207,258648
6RuNa2kdO6HFq7QznOfl7C,0.22,0.656,-3.929,1,0.0339,0.121,0.00652,0.12,0.105,148.187,312200
3RQHAFkEHiFHQ7qmMpKRdv,0.596,0.798,-4.63,1,0.0285,0.00412,0.0,0.338,0.459,105.01,199342
3TiVl5igD6Z5Pw6R5sp8YV,0.589,0.748,-4.767,0,0.0259,0.000438,0.0349,0.16,0.334,115.01,238946
7Gm1XwQL5q72SX76nxuXtW,0.449,0.932,-5.314,1,0.101,0.000219,7.96e-05,0.106,0.424,158.031,247320
556awMv4WQP0h1VXMU8rSU,0.573,0.848,-3.413,1,0.0474,0.0122,2.29e-05,0.4,0.418,89.978,152332
0ZImVxesVZIydOnwTMSWOK,0.649,0.74,-4.759,0,0.0617,0.02,0.0505,0.104,0.203,120.962,198799
5NRtdsFFlmyE8qDMgS08PE,0.736,0.534,-9.22,0,0.0367,0.0433,0.00434,0.0664,0.552,127.035,192441
0xfMFT9G8Ekk7CEYtVabIm,0.462,0.979,-4.255,0,0.0664,0.000899,8.3e-06,0.33,0.542,173.957,171323
48ElaQLYuOaybqagIlPxpU,0.331,0.935,0.719,1,0.0866,0.0518,0.0,0.298,0.565,77.461,187944
2N9j5SNc6cQMYpUeyXYlBV,0.542,0.843,-5.826,1,0.0607,0.0108,0.0,0.0956,0.65,169.036,184911
3cubovyBMABNcWzSdbzMTP,0.339,0.674,-4.657,0,0.0509,0.000235,1.8e-05,0.0429,0.387,132.062,187323
5j8B7LSCepVPnwUrNB4pXt,0.547,0.571,-4.997,1,0.15,0.00263,2.31e-05,0.101,0.677,164.967,131182
5rt1XJbhuC5NRqmdKMDscI,0.703,0.861,-3.187,0,0.0756,0.119,0.0,0.338,0.682,93.029,164626
0woKDRMZzsFWeHppNQnGlS,0.586,0.81,-7.287,0,0.0484,0.00275,2.95e-05,0.145,0.646,105.015,170523
72zjYe2aysOkIR7l6KQIhR,0.547,0.684,-4.88,1,0.0303,0.0192,0.0,0.111,0.276,90.034,194227
5VwNXyLRoIDJ2E2XW1pLVW,0.245,0.931,-5.887,0,0.326,0.00617,3.13e-06,0.0773,0.655,164.956,207139
2Yyf3awGJQnm70qSVoA9In,0.709,0.848,-4.671,1,0.0778,0.0145,0.00305,0.0574,0.845,120.029,152133
3l3iCfpZsxbxWJhYoiQNkD,0.55,0.481,-4.917,0,0.0395,0.0215,0.0,0.0972,0.15,108.163,198333
52Rfxu5AUNMV1qhhC2ZCkb,0.493,0.855,-4.029,1,0.0967,0.00673,0.0,0.38,0.754,179.039,153038
3HCPcK7bCPAczLUfRmZEUn,0.638,0.411,-8.046,0,0.0283,0.475,0.000167,0.101,0.512,93.969,203427
7IaZ2WDYVYi0OImUNQm6Vl,0.252,0.538,-5.806,0,0.0349,0.268,0.00872,0.326,0.102,175.298,242240
1iBWjQ9af9NnUd5xnQDB3k,0.768,0.663,-6.901,0,0.0355,0.581,0.0,0.0974,0.559,96.039,204750
2dSKFFNoNXKo3hPnlwUdPe,0.536,0.814,-5.407,1,0.306,0.0388,0.0,0.142,0.851,96.7,113292
